pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3
250929_205909,8,4,0.673322,0.7083,3.397,1.647,-128.376,-4.16943,7.71442,5.62819,50.0,-1.1037,-16.4083,30.791,-11.1392,R,2.986,True,4,2,1,2,0,0,0,0,76430,R,LT,김상수,51868,SK,5,고명준,False,직구,142,H,False,44,1루수 땅볼 아웃 (1루수 1루 터치아웃),1땅,0,0,0
250929_205945,8,1,-1.10009,0.7083,3.311,1.606,-107.743,3.51167,0.80324,6.18904,50.0,-1.44954,-0.306358,19.9913,-36.9662,L,3.5304,True,4,2,0,1,1,0,0,0,76430,R,LT,김상수,50854,SK,6,최지훈,False,커브,119,B,True,51,우익수 앞 1루타,우안,6,0,0
250929_205959,8,2,-0.05537,0.7083,3.311,1.606,-116.118,-3.10697,4.98905,5.89574,50.0,-0.955329,-13.3376,23.568,-18.9066,L,2.5686,True,4,2,0,1,1,0,0,0,76430,R,LT,김상수,50854,SK,6,최지훈,False,체인지업,128,H,False,33,우익수 앞 1루타,우안,6,0,0
250929_210125,8,1,1.30189,0.7083,3.572,1.733,-118.115,-4.23602,7.03745,5.6829,50.0,-1.16834,-6.27971,22.8906,-24.1693,R,1.4456,True,4,2,0,1,1,6,0,0,76430,R,LT,김상수,50868,SK,7,류효승,True,슬라이더,130,B,True,15,중견수 플라이 아웃,중비,6,0,0
250929_210212,8,2,0.928622,0.7083,3.572,1.733,-118.989,-5.14855,5.23127,5.62324,50.0,-1.16063,-1.84547,23.0383,-21.3229,R,1.3105,True,4,2,0,2,1,6,0,0,76430,R,LT,김상수,50868,SK,7,류효승,True,슬라이더,132,B,True,15,중견수 플라이 아웃,중비,6,0,0
250929_210237,8,3,1.13476,0.7083,3.572,1.733,-120.096,-4.74408,5.92903,5.62551,50.0,-1.20792,-2.18079,24.1789,-21.074,R,1.5621,True,4,2,1,2,1,6,0,0,76430,R,LT,김상수,50868,SK,7,류효승,True,슬라이더,133,S,True,15,중견수 플라이 아웃,중비,6,0,0
250929_210329,8,4,0.316882,0.7083,3.572,1.733,-114.944,-4.99738,5.27591,5.7868,50.0,-0.911863,-11.3116,23.39,-28.1014,R,0.5834,True,4,2,1,3,1,6,0,0,76430,R,LT,김상수,50868,SK,7,류효승,True,포크,127,B,True,14,중견수 플라이 아웃,중비,6,0,0
250929_210417,8,5,-0.304847,0.7083,3.572,1.733,-119.265,-2.21061,3.33552,5.88241,50.0,-1.39777,-3.70323,22.2443,-21.2188,R,2.8898,True,4,2,2,3,1,6,0,0,76430,R,LT,김상수,50868,SK,7,류효승,True,슬라이더,132,S,False,32,중견수 플라이 아웃,중비,6,0,0
250929_210817,8,6,0.165514,0.7083,3.572,1.733,-127.249,-4.38606,5.867,5.73412,50.0,-1.02044,-14.5122,27.3956,-13.6122,R,2.7805,True,4,2,2,3,1,6,0,0,76430,R,LT,김상수,50868,SK,7,류효승,True,직구,141,H,False,33,중견수 플라이 아웃,중비,6,0,0
250929_210926,8,1,-0.003101,0.7083,3.069,1.489,-120.453,-3.07056,4.02829,5.64622,50.0,-1.35974,-3.94408,21.4698,-23.8845,L,2.0949,True,4,2,1,0,2,6,0,0,76430,R,LT,김상수,54812,SK,8,정준재,True,슬라이더,133,T,False,33,중견수 플라이 아웃,중비,6,0,0
